Ranking,Organization,Model,Dataset Score (N=104),Pct. Imputed
35,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.194,0%
36,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",0.194,0%
37,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.195,0%
38,Google,Gemini-1.5-Pro (superforecaster with news 3),0.195,0%
39,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",0.196,0%
40,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.196,0%
41,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.197,0%
42,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.198,0%
43,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.198,0%
44,Meta,Llama-3-8b-Chat-Hf (zero shot),0.199,0%
45,Google,Gemini-1.5-Flash (scratchpad with news),0.2,0%
46,Google,Gemini-1.5-Pro (superforecaster with news 1),0.2,0%
47,OpenAI,GPT-4o (superforecaster with news 1),0.2,0%
48,Google,Gemini-1.5-Flash (superforecaster with news 2),0.203,0%
49,Anthropic,Claude-2.1 (scratchpad),0.203,0%
50,OpenAI,GPT-4o (superforecaster with news 3),0.203,0%
51,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.203,0%
52,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.204,0%
53,OpenAI,GPT-4o (zero shot),0.205,0%
54,Qwen,Qwen1.5-110B-Chat (scratchpad),0.205,0%
55,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.206,0%
56,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.206,0%
57,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.207,0%
58,Anthropic,Claude-2.1 (scratchpad with news),0.208,0%
59,Google,Gemini-1.5-Flash (superforecaster with news 1),0.213,0%
60,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.213,0%
61,Anthropic,Claude-2.1 (superforecaster with news 3),0.216,0%
62,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.217,0%
63,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.217,0%
64,Anthropic,Claude-2.1 (zero shot),0.218,0%
65,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.218,0%
66,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.219,0%
67,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.22,0%
68,OpenAI,GPT-4o (superforecaster with news 2),0.221,0%
69,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.223,0%
70,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.226,0%
71,Anthropic,Claude-2.1 (superforecaster with news 2),0.227,0%
72,Google,Gemini-1.5-Flash (superforecaster with news 3),0.229,0%
73,Google,Gemini-1.5-Pro (superforecaster with news 2),0.233,0%
74,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.234,0%
75,Meta,Llama-2-70b-Chat-Hf (zero shot),0.235,0%
76,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.236,1%
77,OpenAI,GPT-4o (scratchpad with SECOND news),0.238,0%
78,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.241,0%
79,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.242,0%
80,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.243,0%
81,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.245,0%
82,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.245,0%
83,ForecastBench,Imputed Forecaster,0.25,100%
83,ForecastBench,Always 0.5,0.25,0%
85,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.256,0%
86,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.259,0%
87,Anthropic,Claude-2.1 (superforecaster with news 1),0.265,0%
88,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.266,0%
89,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.275,0%
90,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.279,0%
91,ForecastBench,Random Uniform,0.28,0%
92,ForecastBench,Naive Forecaster,0.321,0%
93,ForecastBench,Always 0,0.365,0%
94,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.387,0%
95,ForecastBench,Always 1,0.635,0%
