Ranking,Organization,Model,"Dataset Score (N=1,132)",Pct. Imputed
72,Anthropic,Claude-2.1 (superforecaster with news 1),0.242,1%
73,Google,Gemini-1.5-Flash (superforecaster with news 3),0.242,22%
74,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.243,1%
75,OpenAI,GPT-4o (superforecaster with news 2),0.244,1%
76,Google,Gemini-1.5-Flash (superforecaster with news 1),0.246,0%
77,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.249,1%
78,ForecastBench,Always 0.5,0.25,0%
78,ForecastBench,Imputed Forecaster,0.25,100%
80,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.253,3%
81,Meta,Llama-2-70b-Chat-Hf (zero shot),0.253,0%
82,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.256,2%
83,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.259,45%
84,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.26,0%
85,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.271,0%
86,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.278,0%
87,ForecastBench,Naive Forecaster,0.283,0%
88,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.292,2%
89,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.303,0%
90,ForecastBench,Always 0,0.325,0%
91,ForecastBench,Random Uniform,0.327,0%
92,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.418,0%
93,ForecastBench,Always 1,0.675,0%
