Ranking,Organization,Model,Dataset Score (N=282),Pct. Imputed
66,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.221,0%
67,Anthropic,Claude-2.1 (superforecaster with news 2),0.222,0%
68,Google,Gemini-1.5-Pro (superforecaster with news 2),0.223,0%
69,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.225,0%
70,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.229,0%
71,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.23,0%
72,Google,Gemini-1.5-Flash (superforecaster with news 3),0.232,0%
73,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.233,0%
74,OpenAI,GPT-4o (superforecaster with news 2),0.234,0%
75,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.236,0%
76,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.239,0%
77,Anthropic,Claude-2.1 (superforecaster with news 1),0.239,0%
78,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.242,0%
79,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.242,0%
80,OpenAI,GPT-4o (scratchpad with SECOND news),0.244,0%
81,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.244,1%
82,ForecastBench,Imputed Forecaster,0.25,100%
82,ForecastBench,Always 0.5,0.25,0%
84,Meta,Llama-2-70b-Chat-Hf (zero shot),0.251,0%
85,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.257,0%
86,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.257,0%
87,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.266,0%
88,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.28,0%
89,ForecastBench,Random Uniform,0.301,0%
90,ForecastBench,Naive Forecaster,0.317,0%
91,ForecastBench,Always 0,0.376,0%
92,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.386,0%
93,ForecastBench,Always 1,0.624,0%
