Ranking,Organization,Model,Dataset Score (N=567),Pct. Imputed
53,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.22,8%
54,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.22,17%
55,Google,Gemini-1.5-Flash (superforecaster with news 2),0.22,0%
56,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.221,0%
57,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.223,20%
58,Anthropic,Claude-2.1 (superforecaster with news 3),0.223,4%
59,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.224,2%
60,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",0.224,50%
61,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.224,3%
62,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",0.225,50%
63,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",0.225,50%
64,Anthropic,Claude-2.1 (superforecaster with news 2),0.227,1%
65,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.227,10%
66,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.227,0%
67,Google,Gemini-1.5-Pro (superforecaster with news 2),0.228,0%
68,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.23,3%
69,Google,Gemini-1.5-Flash (superforecaster with news 1),0.234,0%
70,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.236,0%
71,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.236,1%
72,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.236,0%
73,Google,Gemini-1.5-Flash (superforecaster with news 3),0.238,14%
74,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.241,0%
75,Anthropic,Claude-2.1 (superforecaster with news 1),0.242,0%
76,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.242,2%
77,OpenAI,GPT-4o (superforecaster with news 2),0.243,1%
78,OpenAI,GPT-4o (scratchpad with SECOND news),0.244,2%
79,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.247,0%
80,ForecastBench,Imputed Forecaster,0.25,100%
80,ForecastBench,Always 0.5,0.25,0%
82,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.25,1%
83,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.255,30%
84,Meta,Llama-2-70b-Chat-Hf (zero shot),0.255,0%
85,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.255,0%
86,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.266,0%
87,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.281,1%
88,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.291,0%
89,ForecastBench,Naive Forecaster,0.305,0%
90,ForecastBench,Random Uniform,0.32,0%
91,ForecastBench,Always 0,0.356,0%
92,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.4,0%
93,ForecastBench,Always 1,0.644,0%
