Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Model release date
sirbayes,sirbayes,gemini-3-1-pro_thk-high_srch-brave-long_crwd-1_data-tool-1_market-tool-0_tries-1,59.9,487,"[58.8, 60.2]",72.4,117,"[70.5, 75.2]",65.6,604,"[64.7, 66.8]",2026-03-15
ForecastBench,Anthropic,claude-opus-4-20250514-scratchpad-with-freeze-values,60.6,1141,"[60.4, 61.3]",71.3,94,"[69.3, 71.2]",65.5,1235,"[64.6, 65.9]",2025-05-22
ForecastBench,Google DeepMind,gemini-2.5-pro†,60.0,8525,"[59.7, 60.3]",71.8,1044,"[71.2, 72.8]",65.4,9569,"[65.1, 65.8]",2025-06-17
ForecastBench,Qwen,qwen3-235b-a22b-fp8-tput†,59.6,6388,"[59.6, 59.8]",72.4,639,"[71.1, 73.0]",65.4,7027,"[65.0, 65.8]",2025-04-29
ForecastBench,Anthropic,claude-3-7-sonnet-20250219†,59.3,15354,"[59.1, 59.5]",72.6,1195,"[71.9, 73.2]",65.3,16549,"[65.0, 65.7]",2025-02-19
ForecastBench,OpenAI,gpt-5-mini-2025-08-07†,60.2,8525,"[60.1, 60.4]",71.1,1044,"[70.0, 72.0]",65.3,9569,"[64.8, 65.5]",2025-08-07
ForecastBench,OpenAI,gpt-4.1-2025-04-14-scratchpad-with-freeze-values,60.4,6578,"[60.1, 60.6]",71.1,464,"[70.4, 73.0]",65.3,7042,"[65.1, 66.1]",2025-04-14
ForecastBench,OpenAI,o3-2025-04-16-scratchpad-with-freeze-values,60.5,1472,"[60.3, 60.9]",70.8,88,"[68.1, 72.6]",65.3,1560,"[64.0, 66.3]",2025-04-16
ForecastBench,OpenAI,o3-mini-2025-01-31†,58.9,5803,"[58.8, 59.2]",72.8,359,"[71.7, 73.2]",65.2,6162,"[64.7, 65.5]",2025-01-31
ForecastBench,OpenAI,o4-mini-2025-04-16-scratchpad-with-freeze-values,60.6,5106,"[60.4, 60.9]",70.5,376,"[69.4, 72.6]",65.2,5482,"[64.6, 66.2]",2025-04-16
ForecastBench,Anthropic,claude-sonnet-4-20250514†,58.6,3986,"[58.4, 58.9]",73.4,395,"[72.7, 74.2]",65.2,4381,"[64.8, 65.6]",2025-05-22
ForecastBench,xAI,grok-beta†,58.5,2888,"[58.2, 58.9]",73.6,179,"[72.9, 73.9]",65.2,3067,"[65.1, 65.6]",2024-11-04
Anonymous 4,Anonymous 4,excited-seal,58.7,2137,"[58.1, 59.0]",73.2,405,"[72.5, 73.5]",65.2,2542,"[64.7, 65.5]",2026-03-01
ForecastBench,Google DeepMind,gemini-3.1-pro-preview†,60.2,2137,"[60.1, 60.1]",70.9,405,"[70.1, 72.0]",65.2,2542,"[64.7, 65.5]",2026-02-19
ForecastBench,Anthropic,claude-haiku-4-5-20251001-1024†,59.0,7397,"[58.9, 59.2]",72.5,959,"[71.6, 72.9]",65.1,8356,"[64.7, 65.3]",2025-10-15
ForecastBench,Google DeepMind,gemini-3-flash-preview†,59.9,2137,"[59.5, 60.0]",71.3,405,"[70.6, 72.7]",65.1,2542,"[64.7, 65.7]",2025-12-17
ForecastBench,Anthropic,claude-3-5-sonnet-20241022-scratchpad-with-freeze-values,58.7,10094,"[58.6, 58.9]",72.8,641,"[72.3, 73.5]",65.0,10735,"[64.8, 65.4]",2024-10-22
Anonymous 1,Anonymous 1,capella,60.8,970,"[60.2, 61.1]",69.8,104,"[68.3, 71.1]",65.0,1074,"[64.5, 65.2]",2025-10-26
ForecastBench,DeepSeek,deepseek-r1-scratchpad-with-freeze-values,59.0,7244,"[58.7, 59.2]",71.9,457,"[71.0, 72.2]",64.9,7701,"[64.3, 65.1]",2025-01-20
ForecastBench,Anthropic,claude-sonnet-4-6-1024†,59.7,2137,"[59.4, 59.9]",71.0,405,"[69.7, 72.1]",64.9,2542,"[64.4, 65.3]",2026-02-17
ForecastBench,Z.ai,glm-5†,60.4,926,"[59.7, 60.5]",69.9,197,"[68.3, 72.0]",64.9,1123,"[64.2, 65.6]",2026-02-11
ForecastBench,Google DeepMind,gemini-2.5-flash-preview-04-17-scratchpad-with-freeze-values,60.5,1472,"[60.0, 60.9]",69.8,88,"[67.8, 70.9]",64.8,1560,"[64.0, 65.4]",2025-04-17
ForecastBench,Anthropic,claude-opus-4-1-20250805-scratchpad-with-freeze-values,59.8,1128,"[59.5, 60.3]",70.7,85,"[68.5, 73.7]",64.8,1213,"[63.7, 66.2]",2025-08-05
ForecastBench,OpenAI,gpt-5.2-2025-12-11†,60.0,2137,"[59.8, 60.2]",70.1,405,"[68.8, 71.2]",64.7,2542,"[64.1, 65.1]",2025-12-11
LightningRodLabs,LightningRodLabs,foresight-v3,59.7,2137,"[59.2, 59.9]",70.4,405,"[67.8, 71.4]",64.7,2542,"[63.4, 65.2]",2026-03-01
Mantic,Mantic,mantic-2026-03-01,59.9,720,"[59.2, 60.2]",70.1,106,"[68.6, 73.9]",64.6,826,"[64.2, 65.8]",2026-03-01
sirbayes,sirbayes,open-flash-med-search05-tools11-data,61.4,491,"[60.3, 61.6]",68.0,102,"[64.4, 70.3]",64.6,593,"[62.6, 65.6]",2026-03-29
ForecastBench,Anthropic,claude-3-5-sonnet-20241022†,58.7,10094,"[58.6, 58.7]",71.5,641,"[71.1, 72.6]",64.5,10735,"[64.3, 65.0]",2024-10-22
ForecastBench,ForecastBench,Public median forecast,59.2,521,"[59.5, 60.3]",70.7,56,"[68.9, 72.1]",64.5,577,"[64.2, 65.6]",
ForecastBench,Anthropic,claude-3-5-sonnet-20240620†,58.6,17349,"[58.5, 58.7]",71.3,1233,"[70.8, 72.3]",64.4,18582,"[64.2, 64.9]",2024-06-20
ForecastBench,Qwen,qwen3-235b-a22b-fp8-tput-scratchpad-with-freeze-values,58.5,7580,"[58.4, 58.8]",71.6,559,"[71.1, 72.3]",64.4,8139,"[64.4, 64.7]",2025-04-29
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09†,57.8,6721,"[57.5, 58.1]",72.4,499,"[72.0, 73.2]",64.3,7220,"[64.1, 64.8]",2024-04-09
limeforecast,limeforecast,limeforecast ensemble_crowdadj,57.3,487,"[56.7, 58.3]",72.9,117,"[70.6, 74.7]",64.3,604,"[63.3, 65.1]",2026-03-15
ForecastBench,Moonshot AI,kimi-k2-instruct-0905†,58.7,5260,"[58.4, 59.1]",70.8,554,"[69.4, 71.4]",64.2,5814,"[63.5, 64.7]",2025-09-05
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-scratchpad-with-freeze-values,58.5,16234,"[58.5, 58.7]",70.8,1135,"[70.5, 71.7]",64.1,17369,"[64.0, 64.6]",2024-06-20
ForecastBench,Google DeepMind,gemini-2.5-flash†,58.5,6388,"[58.4, 58.6]",70.7,639,"[69.3, 71.5]",64.1,7027,"[63.6, 64.4]",2025-06-17
ForecastBench,Anthropic,claude-opus-4-6-1024†,59.9,2137,"[59.7, 60.2]",68.9,405,"[68.1, 70.0]",64.1,2542,"[63.9, 64.5]",2026-02-05
ForecastBench,Anthropic,claude-sonnet-4-20250514-scratchpad-with-freeze-values,57.7,2269,"[57.6, 58.3]",71.9,179,"[70.5, 72.9]",64.1,2448,"[63.5, 64.9]",2025-05-22
ForecastBench,Google DeepMind,gemini-2.5-flash-preview-04-17†,60.3,1472,"[59.9, 61.0]",68.4,88,"[66.8, 69.8]",64.1,1560,"[63.4, 65.1]",2025-04-17
ForecastBench,xAI,grok-4.20-0309-reasoning†,59.4,491,"[59.0, 59.4]",69.4,102,"[67.1, 71.3]",64.1,593,"[63.0, 64.7]",2026-03-09
ForecastBench,DeepSeek,deepseek-v3-scratchpad-with-freeze-values,58.8,7244,"[58.7, 59.0]",70.0,457,"[69.1, 70.6]",64.0,7701,"[63.6, 64.3]",2024-12-26
ForecastBench,DeepSeek,deepseek-v3†,57.4,7244,"[57.2, 57.5]",71.9,457,"[70.5, 72.6]",63.9,7701,"[63.3, 64.2]",2024-12-26
ForecastBench,Meta,meta-llama-3.1-405b-instruct-turbo†,57.8,2850,"[57.7, 58.3]",71.2,184,"[70.4, 73.5]",63.9,3034,"[63.5, 64.9]",2024-07-23
ForecastBench,OpenAI,gpt-4.1-2025-04-14†,58.8,15103,"[58.8, 59.1]",69.3,1508,"[68.5, 70.9]",63.7,16611,"[63.3, 64.4]",2025-04-14
ForecastBench,Anthropic,claude-3-opus-20240229†,58.3,6721,"[58.0, 58.7]",70.0,499,"[69.1, 71.4]",63.7,7220,"[63.2, 64.5]",2024-02-29
Anonymous 1,Anonymous 1,rigel,58.1,930,"[57.4, 58.2]",70.3,102,"[69.6, 72.0]",63.7,1032,"[63.0, 64.3]",2025-11-09
ForecastBench,Qwen,qwen3-235b-a22b-thinking-2507†,57.7,5260,"[57.8, 58.0]",70.7,554,"[70.7, 72.1]",63.6,5814,"[63.7, 64.2]",2025-07-25
Anonymous 1,Anonymous 1,arcturus,59.3,1900,"[58.6, 59.5]",68.4,206,"[65.2, 70.5]",63.6,2106,"[62.0, 64.6]",2025-10-26
ForecastBench,OpenAI,gpt-5.4-2026-03-05†,59.4,930,"[59.1, 59.8]",68.4,182,"[67.5, 71.6]",63.6,1112,"[63.3, 64.9]",2026-03-05
ForecastBench,OpenAI,o3-mini-2025-01-31-scratchpad-with-freeze-values,58.8,5803,"[58.6, 59.0]",68.8,359,"[67.1, 69.1]",63.5,6162,"[62.6, 63.7]",2025-01-31
ForecastBench,Moonshot AI,kimi-k2-instruct†,57.7,5284,"[57.5, 57.7]",70.4,483,"[69.7, 71.8]",63.5,5767,"[63.1, 64.0]",2025-07-12
ForecastBench,Qwen,qwq-32b-preview-scratchpad-with-freeze-values,56.8,4360,"[56.1, 57.4]",71.8,267,"[70.6, 73.6]",63.5,4627,"[62.9, 64.6]",2024-11-28
Anonymous 1,Anonymous 1,Ensemble,60.6,3332,"[60.2, 60.6]",66.6,346,"[65.6, 67.7]",63.4,3678,"[63.0, 63.8]",2025-11-09
ForecastBench,Meta,llama-4-maverick-17b-128e-instruct-fp8-scratchpad-with-freeze-values,57.1,5759,"[57.0, 57.3]",70.4,363,"[69.8, 71.4]",63.2,6122,"[62.9, 63.6]",2025-04-05
ForecastBench,OpenAI,gpt-5.1-2025-11-13†,59.0,4540,"[58.6, 59.5]",67.9,658,"[66.5, 69.3]",63.2,5198,"[62.6, 64.0]",2025-11-13
Anonymous 1,Anonymous 1,orcas,60.4,1445,"[58.8, 61.6]",66.2,149,"[65.1, 67.5]",63.2,1594,"[62.2, 64.2]",2025-12-21
ForecastBench,Moonshot AI,kimi-k2-instruct-scratchpad-with-freeze-values,58.6,1115,"[58.0, 58.9]",68.5,98,"[67.0, 73.6]",63.2,1213,"[62.3, 65.5]",2025-07-12
ForecastBench,Meta,meta-llama-3.1-405b-instruct-turbo-scratchpad-with-freeze-values,57.5,2850,"[57.3, 57.7]",69.7,184,"[67.9, 72.0]",63.1,3034,"[62.2, 64.1]",2024-07-23
Anonymous 1,Anonymous 1,polaris,58.1,930,"[57.3, 58.9]",69.0,102,"[66.3, 71.0]",63.1,1032,"[61.6, 63.6]",2025-11-09
ForecastBench,Z.ai,glm-4.5-air-fp8†,56.4,3028,"[56.4, 56.7]",71.1,291,"[70.0, 72.1]",63.0,3319,"[62.6, 63.6]",2025-07-28
ForecastBench,Meta,llama-3.3-70b-instruct-turbo-scratchpad-with-freeze-values,56.7,10094,"[56.6, 56.8]",70.4,641,"[69.6, 71.5]",62.9,10735,"[62.5, 63.4]",2024-12-06
ForecastBench,Mistral AI,mistral-large-2407†,56.1,9697,"[55.9, 56.4]",71.3,643,"[70.7, 72.7]",62.9,10340,"[62.7, 63.6]",2024-07-24
Anonymous 1,Anonymous 1,canopus,59.7,1900,"[59.1, 60.3]",66.3,206,"[64.8, 67.8]",62.9,2106,"[62.1, 63.7]",2025-10-26
Anonymous 1,Anonymous 1,orion,60.3,1678,"[59.9, 60.7]",65.8,145,"[64.0, 67.3]",62.9,1823,"[61.9, 63.9]",2025-12-07
ForecastBench,OpenAI,gpt-4o-2024-05-13†,55.7,9697,"[55.5, 56.1]",71.5,643,"[70.9, 72.3]",62.8,10340,"[62.5, 63.3]",2024-05-13
ForecastBench,Qwen,qwen2.5-72b-instruct-turbo†,56.4,2850,"[55.9, 56.5]",70.5,184,"[69.3, 72.2]",62.8,3034,"[62.3, 63.3]",2024-09-19
ForecastBench,OpenAI,gpt-4-0613†,56.3,1384,"[56.3, 57.3]",70.4,123,"[68.8, 71.8]",62.7,1507,"[62.2, 63.8]",2023-06-13
ForecastBench,Z.ai,glm-4.5-air-fp8-scratchpad-with-freeze-values,57.3,1128,"[56.6, 58.2]",69.0,85,"[66.9, 69.7]",62.7,1213,"[61.4, 63.5]",2025-07-28
ForecastBench,Meta,llama-3.3-70b-instruct-turbo†,55.2,10094,"[54.9, 55.6]",71.4,641,"[71.6, 73.1]",62.4,10735,"[62.5, 63.3]",2024-12-06
ForecastBench,Mistral AI,mistral-large-2411†,55.5,3384,"[55.1, 55.8]",70.7,277,"[69.7, 71.9]",62.4,3661,"[61.8, 62.9]",2024-11-18
ForecastBench,Google DeepMind,gemini-3.1-flash-lite-preview†,59.4,930,"[59.5, 59.9]",65.6,182,"[65.2, 68.0]",62.4,1112,"[62.4, 63.6]",2026-03-03
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-scratchpad-with-news-with-freeze-values,58.5,1384,"[58.4, 59.5]",66.6,123,"[63.9, 68.8]",62.3,1507,"[61.1, 63.8]",2024-06-20
Anonymous 1,Anonymous 1,bigdipper,59.1,970,"[58.5, 59.3]",65.7,104,"[64.3, 70.6]",62.2,1074,"[61.7, 64.1]",2025-10-26
calibralabs,calibralabs,calibra,59.2,1698,"[58.7, 59.2]",65.2,325,"[63.7, 65.7]",62.1,2023,"[61.1, 62.3]",2026-03-01
ForecastBench,OpenAI,gpt-5.4-mini-2026-03-17†,56.6,930,"[55.6, 56.8]",68.6,182,"[65.4, 70.7]",62.1,1112,"[60.2, 63.1]",2026-03-17
ForecastBench,DeepSeek,deepseek-v3.1†,57.5,7397,"[57.3, 57.8]",66.9,959,"[65.2, 68.2]",61.9,8356,"[61.0, 62.6]",2025-08-21
ForecastBench,Google DeepMind,gemini-2.0-flash-lite-001-scratchpad-with-freeze-values,56.8,2888,"[56.6, 57.1]",67.9,179,"[66.9, 69.2]",61.9,3067,"[61.6, 62.5]",2025-02-05
ForecastBench,OpenAI,gpt-4o-2024-11-20-web-search-scratchpad-with-freeze-values,58.5,1441,"[58.1, 58.9]",65.6,98,"[64.4, 69.2]",61.9,1539,"[61.5, 63.2]",2024-11-20
ForecastBench,Mistral AI,magistral-medium-2506-scratchpad-with-freeze-values,56.4,3384,"[56.0, 56.5]",68.1,277,"[66.9, 68.8]",61.8,3661,"[61.3, 62.1]",2025-05-28
Anonymous 1,Anonymous 1,bootis,58.6,930,"[57.4, 58.7]",65.0,102,"[62.6, 69.4]",61.7,1032,"[59.9, 63.4]",2025-11-09
Anonymous 1,Anonymous 1,centauri,57.9,930,"[56.8, 58.7]",66.0,102,"[64.0, 67.1]",61.7,1032,"[60.8, 62.4]",2025-11-09
ForecastBench,OpenAI,gpt-4o-2024-11-20-web-search†,57.7,1441,"[57.3, 58.0]",66.0,98,"[62.1, 69.0]",61.6,1539,"[59.8, 62.7]",2024-11-20
ForecastBench,OpenAI,gpt-4o-scratchpad-with-freeze-values,56.6,1384,"[56.2, 57.7]",67.4,123,"[65.8, 69.0]",61.6,1507,"[60.9, 62.9]",2024-05-13
ForecastBench,OpenAI,gpt-4o-2024-11-20-web-search-scratchpad,58.5,1441,"[58.1, 58.9]",64.8,98,"[63.3, 68.4]",61.5,1539,"[61.0, 62.9]",2024-11-20
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-scratchpad-with-freeze-values,56.7,6721,"[56.5, 57.1]",66.8,499,"[65.9, 69.8]",61.4,7220,"[61.0, 62.7]",2024-04-09
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-superforecaster-with-news-1,58.5,1384,"[58.0, 59.5]",64.4,123,"[62.0, 65.5]",61.3,1507,"[60.7, 62.1]",2024-06-20
ForecastBench,OpenAI,gpt-4o-2024-05-13-scratchpad-with-freeze-values,54.9,9697,"[54.6, 55.0]",68.8,643,"[68.8, 69.6]",61.2,10340,"[61.1, 61.5]",2024-05-13
OracleMarkets,OracleMarkets,ensemble,59.4,439,"[58.4, 59.8]",62.8,80,"[60.5, 67.5]",61.1,519,"[59.6, 63.4]",2026-04-12
Mantic,Mantic,mantic-light-2025-10-testing,51.6,4290,"[51.1, 52.2]",73.5,450,"[72.4, 74.4]",61.0,4740,"[60.6, 61.5]",2025-11-09
ForecastBench,Meta,llama-3-70b-chat-hf†,54.9,3871,"[54.4, 55.4]",68.3,315,"[66.8, 70.2]",61.0,4186,"[60.4, 62.0]",2024-04-18
ForecastBench,OpenAI,gpt-4o†,54.0,1384,"[53.6, 54.9]",69.3,123,"[68.2, 72.8]",60.9,1507,"[60.5, 62.5]",2024-05-13
ForecastBench,OpenAI,gpt-4o-scratchpad-with-news-with-freeze-values,56.2,1384,"[56.3, 57.2]",66.1,123,"[65.2, 68.1]",60.8,1507,"[60.5, 62.0]",2024-05-13
ForecastBench,Meta,llama-3-8b-chat-hf†,55.2,2732,"[54.8, 55.9]",67.3,216,"[66.3, 69.5]",60.7,2948,"[60.2, 62.1]",2024-04-18
ForecastBench,Google DeepMind,gemini-1.5-pro-scratchpad-with-freeze-values,57.8,1384,"[57.9, 58.6]",63.8,123,"[63.2, 66.3]",60.7,1507,"[60.5, 62.0]",2024-05-01
ForecastBench,OpenAI,gpt-4o-2024-11-20-web-search,57.7,1441,"[57.3, 58.0]",63.8,98,"[62.5, 66.8]",60.6,1539,"[60.1, 61.8]",2024-11-20
ForecastBench,Qwen,qwen1.5-110b-chat†,55.3,1384,"[55.4, 56.1]",66.7,123,"[65.4, 68.2]",60.6,1507,"[60.1, 61.4]",2024-04-25
Anonymous 1,Anonymous 1,sirius,58.2,930,"[57.5, 58.8]",63.1,102,"[62.3, 67.0]",60.6,1032,"[59.9, 62.0]",2025-11-09
ForecastBench,Meta,llama-4-scout-17b-16e-instruct†,53.7,6900,"[53.4, 53.9]",68.8,457,"[68.2, 70.0]",60.5,7357,"[60.1, 61.1]",2025-04-05
ForecastBench,Mistral AI,mistral-large-2407-scratchpad-with-freeze-values,55.1,5770,"[55.0, 55.2]",66.7,361,"[64.6, 67.1]",60.5,6131,"[59.6, 60.6]",2024-07-24
ForecastBench,OpenAI,gpt-5-nano-2025-08-07†,57.2,8525,"[57.3, 57.6]",63.8,1044,"[62.4, 64.6]",60.4,9569,"[59.8, 60.8]",2025-08-07
ForecastBench,Meta,llama-4-scout-17b-16e-instruct-scratchpad-with-freeze-values,53.5,4319,"[53.3, 53.6]",68.8,273,"[68.1, 69.9]",60.4,4592,"[60.1, 60.8]",2025-04-05
ForecastBench,ForecastBench,Imputed Forecaster,50.0,24746,"[50.0, 50.0]",74.4,2192,"[73.6, 75.2]",60.3,26938,"[60.0, 60.5]",
ForecastBench,Anthropic,claude-3-opus-20240229-scratchpad-with-freeze-values,57.1,6721,"[56.5, 57.5]",63.3,499,"[62.8, 64.9]",60.1,7220,"[59.6, 60.9]",2024-02-29
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-scratchpad-with-news,58.5,1384,"[58.4, 59.5]",61.6,123,"[60.4, 65.1]",60.1,1507,"[59.5, 62.1]",2024-06-20
ForecastBench,OpenAI,gpt-4-0613-scratchpad-with-freeze-values,56.0,1384,"[56.0, 56.7]",64.4,123,"[62.3, 66.2]",60.0,1507,"[59.0, 60.9]",2023-06-13
ForecastBench,Google DeepMind,gemini-1.5-pro†,55.3,1384,"[55.3, 56.5]",65.1,123,"[63.0, 65.7]",59.9,1507,"[59.0, 60.7]",2024-05-01
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1†,54.1,1384,"[54.3, 55.4]",66.6,123,"[63.7, 66.1]",59.9,1507,"[58.8, 60.1]",2024-04-17
ForecastBench,Anthropic,claude-2.1†,52.8,1384,"[52.8, 53.7]",68.3,123,"[65.1, 69.1]",59.8,1507,"[58.5, 60.4]",2023-11-21
ForecastBench,Mistral AI,mistral-large-latest†,54.6,1384,"[54.3, 56.0]",65.8,123,"[62.5, 68.4]",59.8,1507,"[58.2, 61.7]",2024-02-26
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-scratchpad-with-news-with-freeze-values,55.5,1384,"[55.5, 56.3]",64.6,123,"[64.3, 65.9]",59.8,1507,"[59.9, 60.7]",2024-04-09
ForecastBench,Google DeepMind,gemini-1.5-flash†,53.8,1384,"[54.0, 54.9]",66.6,123,"[64.4, 71.8]",59.7,1507,"[59.2, 62.2]",2024-05-01
ForecastBench,Mistral AI,mistral-large-latest-scratchpad-with-freeze-values,56.0,1384,"[56.2, 56.9]",63.1,123,"[62.6, 63.7]",59.4,1507,"[59.4, 59.9]",2024-02-26
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-scratchpad-with-freeze-values,55.2,1384,"[55.2, 56.3]",63.8,123,"[61.5, 65.5]",59.3,1507,"[58.2, 60.5]",2024-04-17
ForecastBench,Mistral AI,mixtral-8x7b-instruct-v0.1†,53.4,1384,"[52.5, 54.9]",66.1,123,"[64.8, 66.8]",59.3,1507,"[58.2, 60.3]",2023-12-11
ForecastBench,ForecastBench,Naive Forecaster,48.2,24746,"[47.9, 48.1]",74.3,2192,"[73.6, 75.1]",59.1,26938,"[58.7, 59.3]",
ForecastBench,Google DeepMind,gemini-1.5-pro-scratchpad-with-news-with-freeze-values,56.9,1384,"[56.9, 58.3]",61.4,123,"[58.3, 64.2]",59.1,1507,"[57.9, 60.6]",2024-05-01
Anonymous 1,Anonymous 1,vega,58.6,2611,"[58.1, 59.0]",59.3,296,"[58.4, 61.5]",59.0,2907,"[58.2, 60.1]",2025-11-09
ForecastBench,OpenAI,gpt-4o-scratchpad-with-news,56.2,1384,"[56.3, 57.2]",62.1,123,"[62.0, 66.0]",59.0,1507,"[59.1, 61.1]",2024-05-13
ForecastBench,Meta,llama-3-70b-chat-hf-scratchpad-with-freeze-values,54.1,1384,"[53.6, 55.2]",64.2,123,"[62.7, 65.8]",58.9,1507,"[58.3, 59.9]",2024-04-18
