model,release_date
Gemini-1.5-Flash (scratchpad with freeze values),2024-05-01
Gemini-1.5-Flash (scratchpad with news with freeze values),2024-05-01
Gemini-1.5-Flash (scratchpad with news),2024-05-01
Gemini-1.5-Flash (scratchpad),2024-05-01
Gemini-1.5-Flash (zero shot with freeze values),2024-05-01
Gemini-1.5-Flash (zero shot),2024-05-01
Gemini-1.5-Pro (scratchpad with freeze values),2024-05-01
Gemini-1.5-Pro (scratchpad with news with freeze values),2024-05-01
Gemini-1.5-Pro (scratchpad with news),2024-05-01
Gemini-1.5-Pro (scratchpad),2024-05-01
Gemini-1.5-Pro (superforecaster with news 2),2024-05-01
Gemini-1.5-Pro (superforecaster with news 3),2024-05-01
Gemini-2.0-Flash-Lite-001 (scratchpad with freeze values),2025-02-05
Gemini-2.0-Flash-Lite-001 (scratchpad),2025-02-05
Gemini-2.0-Flash-Lite-001 (zero shot with freeze values),2025-02-05
Gemini-2.0-Flash-Lite-001 (zero shot),2025-02-05
GPT-3.5-Turbo-0125 (scratchpad with freeze values),2023-03-21
GPT-3.5-Turbo-0125 (scratchpad),2023-03-21
GPT-3.5-Turbo-0125 (zero shot with freeze values),2023-03-21
GPT-3.5-Turbo-0125 (zero shot),2023-03-21
GPT-4 (scratchpad with freeze values),2023-06-13
GPT-4 (scratchpad),2023-06-13
GPT-4 (zero shot with freeze values),2023-06-13
GPT-4 (zero shot),2023-06-13
GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad with news),2024-04-09
GPT-4-Turbo-2024-04-09 (scratchpad),2024-04-09
GPT-4-Turbo-2024-04-09 (superforecaster with news 1),2024-04-09
GPT-4-Turbo-2024-04-09 (zero shot with freeze values),2024-04-09
GPT-4-Turbo-2024-04-09 (zero shot),2024-04-09
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),2025-02-27
GPT-4.5-Preview-2025-02-27 (scratchpad),2025-02-27
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),2025-02-27
GPT-4.5-Preview-2025-02-27 (zero shot),2025-02-27
GPT-4o (scratchpad with freeze values),2024-05-13
GPT-4o (scratchpad with news with freeze values),2024-05-13
GPT-4o (scratchpad with news),2024-05-13
GPT-4o (scratchpad),2024-05-13
GPT-4o (superforecaster with news 1),2024-05-13
GPT-4o (zero shot with freeze values),2024-05-13
GPT-4o (zero shot),2024-05-13
GPT-4o-2024-05-13 (zero shot with freeze values),2024-05-13
GPT-4o-2024-05-13 (zero shot),2024-05-13
GPT-4o-2024-11-20 (scratchpad with freeze values with web search),2024-11-20
GPT-4o-2024-11-20 (scratchpad with web search),2024-11-20
GPT-4o-2024-11-20 (zero shot with freeze values with web search),2024-11-20
GPT-4o-2024-11-20 (zero shot with web search),2024-11-20
Grok-2-1212 (zero shot with freeze values),2024-12-12
Grok-2-1212 (zero shot),2024-12-12
Imputed Forecaster,
Llama-2-70b-Chat-Hf (scratchpad with freeze values),2023-07-18
Llama-2-70b-Chat-Hf (scratchpad),2023-07-18
Llama-2-70b-Chat-Hf (zero shot with freeze values),2023-07-18
Llama-2-70b-Chat-Hf (zero shot),2023-07-18
Llama-3-70b-Chat-Hf (scratchpad with freeze values),2024-04-18
Llama-3-70b-Chat-Hf (scratchpad),2024-04-18
Llama-3-70b-Chat-Hf (zero shot with freeze values),2024-04-18
Llama-3-70b-Chat-Hf (zero shot),2024-04-18
Llama-3-8b-Chat-Hf (scratchpad with freeze values),2024-04-18
Llama-3-8b-Chat-Hf (scratchpad),2024-04-18
Llama-3-8b-Chat-Hf (zero shot with freeze values),2024-04-18
Llama-3-8b-Chat-Hf (zero shot),2024-04-18
Llama-3.3-70B-Instruct-Turbo (scratchpad with freeze values),2024-12-06
Llama-3.3-70B-Instruct-Turbo (scratchpad),2024-12-06
Llama-3.3-70B-Instruct-Turbo (zero shot with freeze values),2024-12-06
Llama-3.3-70B-Instruct-Turbo (zero shot),2024-12-06
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",
Mistral-Large-2407 (zero shot with freeze values),2024-07-24
Mistral-Large-2407 (zero shot),2024-07-24
Mistral-Large-Latest (scratchpad with freeze values),2024-02-26
Mistral-Large-Latest (scratchpad with news with freeze values),2024-02-26
Mistral-Large-Latest (scratchpad with news),2024-02-26
Mistral-Large-Latest (scratchpad),2024-02-26
Mistral-Large-Latest (zero shot with freeze values),2024-02-26
Mistral-Large-Latest (zero shot),2024-02-26
Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (scratchpad),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),2024-04-17
Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),2024-04-01
Mixtral-8x22B-Instruct-V0.1 (zero shot),2024-04-17
Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (scratchpad),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),2023-12-11
Mixtral-8x7B-Instruct-V0.1 (zero shot),2023-12-11
Naive Forecaster,
O3-Mini-2025-01-31 (scratchpad with freeze values),2025-01-30
O3-Mini-2025-01-31 (scratchpad),2025-01-30
O3-Mini-2025-01-31 (zero shot with freeze values),2025-01-30
O3-Mini-2025-01-31 (zero shot),2025-01-30
Public median forecast,
Qwen1.5-110B-Chat (scratchpad with freeze values),2024-04-25
Qwen1.5-110B-Chat (scratchpad with news with freeze values),2024-04-25
Qwen1.5-110B-Chat (scratchpad with news),2024-04-25
Qwen1.5-110B-Chat (scratchpad),2024-04-25
Qwen1.5-110B-Chat (zero shot with freeze values),2024-04-25
Qwen1.5-110B-Chat (zero shot),2024-04-25
QwQ-32B-Preview (scratchpad with freeze values),2024-11-28
QwQ-32B-Preview (scratchpad),2024-11-28
Random Uniform,
Superforecaster median forecast,
